Breed,Number of lactation,Green fodder (Kg),Dry fodder (Kg),Concentrate (kg),Azolla (kg),Milk yield (Liters),Milk Fat %,SNF %,Lactometer reading,Price (Rs/Liter),Vitamin liquid (ml/day),Mineral Mixture (gm/day),Calcium Supplement (Liquid) ml/day,Number of Calcium supplement Injections
Holstein Friesian Cross,3,45,6,7,1.16,16.06,3.29,8.55,36,43.52,6,37,50,3
Jersey cross,4,30,10,5,0.62,13.84,3.55,8.55,34,35.77,4,68,54,2
Holstein Friesian Cross,8,28,10,12,1.89,18.93,3.41,8.41,29,43.99,4,61,64,0
Holstein Friesian Cross,2,39,14,10,0.35,15.9,3.32,8.55,32,43.72,2,45,51,0
Holstein Friesian Cross,6,41,12,4,0.69,17.91,3.15,8.62,34,42.22,5,68,72,0
Jersey cross,6,28,12,5,0.36,13.97,3.56,8.47,37,44.51,3,69,68,3
Holstein Friesian Cross,5,45,8,9,0.77,17.61,3.17,8.48,37,37.77,6,45,71,0
Holstein Friesian Cross,6,33,5,11,1.6,17.61,3.42,8.34,37,40.75,2,55,69,1
Jersey cross,6,28,8,8,0.72,14.5,3.59,8.47,32,44.15,3,74,72,1
Jersey cross,1,32,8,14,0.63,13.52,3.8,8.47,28,42.37,2,52,63,3
Holstein Friesian Cross,2,42,10,13,0.25,16.32,3.43,8.39,30,38.47,2,29,62,2
Holstein Friesian Cross,2,38,6,12,1.28,16.95,3.43,8.52,35,42.51,4,64,73,2
Holstein Friesian Cross,4,36,8,5,0.57,16.49,3.33,8.46,35,36.22,6,28,50,2
Jersey cross,6,34,7,13,0.51,16.43,3.81,8.44,37,37.3,6,71,69,0
Jersey cross,1,39,10,10,1.97,14.01,3.52,8.59,38,43.08,4,39,51,3
Holstein Friesian Cross,6,39,14,12,0.02,19.35,3.33,8.43,28,35.12,4,25,67,3
Holstein Friesian Cross,7,31,14,9,1.3,18.97,3.3,8.59,38,35.4,6,34,61,2
Jersey cross,7,25,8,6,0.42,13.8,3.72,8.49,36,39.85,4,72,72,0
Holstein Friesian Cross,3,37,12,13,1.07,16.97,3.36,8.47,33,38.16,6,44,60,0
Holstein Friesian Cross,4,34,11,14,0.48,18.65,3.37,8.45,35,38.35,6,35,53,0
Holstein Friesian Cross,9,35,6,11,0.75,19.27,3.45,8.52,38,44.77,5,31,74,0
Holstein Friesian Cross,6,30,13,12,0.72,18.98,3.43,8.43,30,37.81,6,68,73,0
Holstein Friesian Cross,9,39,14,12,1.7,21.39,3.4,8.43,30,40.01,5,51,50,1
Holstein Friesian Cross,5,35,7,11,0.44,17.03,3.36,8.38,28,42.4,4,39,53,1
Holstein Friesian Cross,7,31,7,11,1.18,17.81,3.36,8.42,34,43.49,4,49,72,3
Jersey cross,5,30,14,9,0.94,14.75,3.6,8.55,30,37.25,2,32,72,3
Holstein Friesian Cross,9,35,11,14,0.24,20.43,3.36,8.54,29,44.17,4,67,57,1
Jersey cross,6,32,10,8,0.9,14.5,3.57,8.48,35,40.87,6,56,51,2
Jersey cross,3,42,9,4,0.45,14.67,3.5,8.6,38,37.32,4,67,74,0
Holstein Friesian Cross,9,30,9,9,1.52,19.13,3.32,8.51,38,39.23,3,48,62,3
Holstein Friesian Cross,3,33,5,7,1.57,14.57,3.37,8.49,31,44.49,3,72,64,1
Holstein Friesian Cross,3,30,10,13,0.93,16.0,3.53,8.56,36,42.96,3,67,68,3
Jersey cross,4,29,10,10,1.12,14.4,3.7,8.44,34,36.38,6,66,62,0
Jersey cross,7,42,7,11,1.7,17.24,3.58,8.5,37,44.7,4,63,74,1
Jersey cross,4,35,5,6,1.08,14.85,3.65,8.42,38,41.2,2,64,51,0
Jersey cross,8,45,10,12,0.05,18.85,3.52,8.5,37,41.11,2,56,53,2
Jersey cross,4,37,14,8,1.4,15.48,3.5,8.48,35,37.74,4,60,71,0
Jersey cross,2,31,14,13,0.03,13.93,3.78,8.53,29,41.83,3,55,72,2
Jersey cross,6,28,13,8,0.35,14.51,3.63,8.55,32,37.81,2,46,66,1
Jersey cross,3,32,6,5,0.89,12.83,3.62,8.46,33,39.44,2,34,56,0
Holstein Friesian Cross,3,39,9,7,1.33,16.41,3.15,8.46,29,37.79,3,52,51,0
Holstein Friesian Cross,6,37,6,9,1.48,18.66,3.29,8.4,29,39.51,3,73,68,2
Jersey cross,7,41,13,12,0.23,17.86,3.63,8.6,29,43.19,3,42,56,3
Holstein Friesian Cross,7,26,5,13,0.77,17.29,3.55,8.45,33,40.52,5,71,72,0
Holstein Friesian Cross,8,30,11,7,0.38,18.81,3.33,8.47,31,41.61,2,39,69,0
Holstein Friesian Cross,1,31,12,14,0.74,15.9,3.54,8.47,28,44.23,6,56,74,0
Holstein Friesian Cross,1,40,13,9,1.53,15.67,3.2,8.57,37,39.3,5,66,58,1
Holstein Friesian Cross,8,30,7,5,0.91,17.63,3.27,8.46,34,43.03,3,65,71,2
Jersey cross,5,27,5,6,1.09,13.64,3.57,8.4,37,41.06,3,68,56,1
Holstein Friesian Cross,1,42,9,10,1.98,15.62,3.3,8.47,38,37.15,3,44,57,1
Jersey cross,3,25,14,14,1.54,15.35,3.73,8.44,31,36.92,6,53,74,3
Holstein Friesian Cross,6,40,5,9,1.66,17.51,3.38,8.42,31,43.35,5,37,52,1
Jersey cross,2,43,9,10,1.5,14.2,3.5,8.57,30,39.26,5,28,56,1
Holstein Friesian Cross,8,37,12,6,0.19,18.28,3.27,8.52,36,36.77,6,26,56,2
Holstein Friesian Cross,7,28,13,7,1.87,17.45,3.39,8.6,29,38.75,5,74,58,1
Jersey cross,2,28,11,11,1.51,12.69,3.69,8.54,30,44.77,5,37,67,2
Jersey cross,2,37,8,10,1.66,13.64,3.6,8.47,38,44.75,5,30,59,3
Holstein Friesian Cross,6,37,11,9,0.35,17.76,3.3,8.61,37,35.58,6,35,55,3
Jersey cross,3,31,9,11,1.97,13.38,3.64,8.48,37,38.57,3,40,72,3
Jersey cross,6,25,12,12,1.79,15.64,3.73,8.49,34,35.96,6,25,55,3
Jersey cross,9,28,7,14,0.49,17.85,3.78,8.4,30,36.61,4,36,74,1
Holstein Friesian Cross,1,41,8,14,1.5,15.87,3.37,8.35,34,44.75,6,27,65,3
Holstein Friesian Cross,7,32,8,14,1.04,18.94,3.39,8.43,31,39.73,3,66,64,2
Holstein Friesian Cross,5,45,13,8,1.17,17.54,3.2,8.5,31,40.88,5,29,59,1
Jersey cross,5,42,13,13,1.52,15.96,3.62,8.51,38,37.92,3,43,62,0
Holstein Friesian Cross,6,42,9,8,1.33,17.95,3.16,8.49,34,35.51,2,57,55,2
Jersey cross,2,32,13,4,0.54,12.05,3.59,8.55,36,39.04,3,71,55,0
Holstein Friesian Cross,8,41,12,8,1.25,18.84,3.33,8.47,37,43.16,4,30,55,2
Holstein Friesian Cross,1,32,11,5,0.12,13.43,3.37,8.56,29,39.35,3,57,74,3
Holstein Friesian Cross,4,43,5,7,0.35,17.87,3.31,8.4,36,43.53,3,41,51,1
Jersey cross,9,35,14,5,1.54,17.22,3.63,8.66,30,35.21,6,40,58,0
Jersey cross,6,26,12,12,1.28,16.55,3.7,8.45,33,44.44,2,71,66,1
Holstein Friesian Cross,3,44,8,13,1.27,17.84,3.39,8.46,34,40.92,4,74,63,3
Jersey cross,8,34,14,10,0.67,16.38,3.62,8.49,34,44.05,3,65,69,2
Jersey cross,9,39,7,6,1.6,17.75,3.57,8.49,29,39.71,4,35,60,0
Holstein Friesian Cross,7,40,13,7,0.81,17.58,3.31,8.64,31,44.28,4,69,64,1
Jersey cross,8,31,11,9,0.55,16.89,3.68,8.43,28,44.08,2,39,58,0
Holstein Friesian Cross,6,45,10,13,1.9,18.64,3.3,8.45,32,43.02,3,28,55,2
Jersey cross,5,42,14,5,0.54,16.0,3.39,8.57,32,44.53,4,46,75,1
Holstein Friesian Cross,3,45,12,5,1.32,16.83,3.19,8.56,34,38.32,6,41,74,1
Holstein Friesian Cross,5,25,12,10,0.88,16.68,3.47,8.48,36,39.21,2,70,55,0
Jersey cross,9,34,11,9,0.98,16.94,3.57,8.54,29,36.66,3,55,74,1
Holstein Friesian Cross,1,37,13,5,0.09,14.0,3.21,8.63,34,39.9,6,44,70,2
Holstein Friesian Cross,5,41,14,4,1.55,16.2,3.2,8.53,37,36.24,4,69,72,3
Jersey cross,1,30,14,11,1.91,13.14,3.8,8.62,38,44.68,6,38,53,2
Holstein Friesian Cross,8,25,5,12,0.58,18.54,3.58,8.51,36,36.2,5,30,55,1
Jersey cross,5,42,10,7,1.69,15.72,3.45,8.52,38,39.76,5,27,65,2
Holstein Friesian Cross,5,37,8,12,1.07,17.46,3.34,8.48,28,36.59,2,33,54,2
Jersey cross,4,25,8,5,1.61,12.59,3.65,8.54,32,36.8,6,43,70,3
Holstein Friesian Cross,7,31,7,7,1.29,16.83,3.26,8.6,30,37.01,5,36,63,2
Jersey cross,6,25,14,11,1.12,15.49,3.79,8.58,33,41.35,2,61,65,3
Jersey cross,9,30,13,13,0.71,18.21,3.84,8.46,31,36.62,3,27,51,2
Holstein Friesian Cross,3,30,13,8,1.37,15.79,3.31,8.49,30,38.14,4,39,59,1
Jersey cross,7,34,9,14,1.64,17.73,3.69,8.44,35,44.08,3,71,66,2
Jersey cross,8,29,12,14,0.96,16.9,3.83,8.45,34,40.93,5,75,65,1
Jersey cross,2,32,5,14,1.55,15.24,3.84,8.31,36,41.79,3,33,66,3
Holstein Friesian Cross,6,29,14,13,0.53,18.51,3.52,8.41,33,38.5,4,47,57,3
Jersey cross,8,37,12,8,0.37,17.66,3.52,8.46,37,43.78,3,43,59,0
Jersey cross,3,36,7,13,1.26,14.22,3.71,8.4,35,38.66,3,31,61,3
Jersey cross,3,45,9,8,0.51,15.15,3.46,8.58,37,38.62,3,49,54,2
Jersey cross,6,27,13,13,0.26,15.12,3.79,8.48,30,44.43,3,47,74,0
Jersey cross,8,30,8,9,0.0,16.21,3.7,8.5,32,43.89,3,29,69,0
Holstein Friesian Cross,8,38,8,5,0.32,17.95,3.2,8.51,32,43.44,4,40,64,0
Holstein Friesian Cross,6,44,8,10,0.32,17.88,3.17,8.54,36,37.8,5,53,64,3
Jersey cross,3,26,5,13,1.31,14.59,3.72,8.49,38,37.51,3,62,60,2
Holstein Friesian Cross,7,31,10,7,0.47,17.33,3.37,8.43,32,40.83,5,63,50,3
Jersey cross,4,33,10,9,1.98,15.54,3.75,8.42,37,41.14,5,64,58,2
Holstein Friesian Cross,5,29,5,11,1.88,16.05,3.46,8.43,38,40.91,3,27,62,2
Holstein Friesian Cross,8,45,7,10,1.93,20.03,3.27,8.38,28,41.19,4,41,66,0
Jersey cross,8,41,5,14,0.73,18.37,3.62,8.44,31,40.21,6,32,64,1
Holstein Friesian Cross,1,33,12,6,0.63,14.44,3.37,8.55,36,37.02,2,35,71,2
Jersey cross,3,41,11,13,2.0,16.43,3.61,8.54,31,38.86,6,58,57,3
Holstein Friesian Cross,6,32,12,13,0.8,18.39,3.39,8.58,34,37.79,4,72,55,0
Holstein Friesian Cross,4,37,10,14,1.94,18.81,3.44,8.54,36,37.0,3,73,59,0
Jersey cross,8,32,10,11,1.55,17.04,3.78,8.4,32,42.13,4,39,55,2
Holstein Friesian Cross,5,43,12,13,1.7,18.07,3.25,8.53,38,38.7,6,72,72,0
Holstein Friesian Cross,9,26,11,5,0.44,17.68,3.41,8.5,31,42.39,2,60,54,1
Holstein Friesian Cross,3,35,9,13,0.72,16.2,3.49,8.44,38,41.96,2,29,69,2
Holstein Friesian Cross,4,26,8,13,0.21,15.91,3.46,8.45,35,37.72,6,30,62,3
Holstein Friesian Cross,3,31,7,11,1.6,15.35,3.47,8.42,37,44.74,4,35,53,1
Holstein Friesian Cross,1,41,7,9,0.38,16.37,3.23,8.57,36,37.57,3,75,64,0
Holstein Friesian Cross,7,38,12,7,0.89,18.59,3.2,8.56,31,39.4,4,70,65,2
Holstein Friesian Cross,4,33,14,14,1.39,18.77,3.51,8.57,37,42.21,2,66,71,2
Holstein Friesian Cross,6,29,8,12,1.35,16.86,3.43,8.4,30,44.11,4,59,57,0
Jersey cross,4,42,9,7,1.4,15.46,3.42,8.5,37,42.02,2,38,61,0
Jersey cross,4,43,9,10,1.71,14.97,3.57,8.43,29,38.95,6,69,67,1
Holstein Friesian Cross,8,40,8,14,1.78,20.55,3.29,8.45,36,37.1,2,25,53,3
Holstein Friesian Cross,4,38,13,7,0.66,16.28,3.16,8.48,30,35.77,6,35,74,2
Jersey cross,8,40,10,13,1.5,17.56,3.7,8.43,37,38.56,2,32,63,2
Holstein Friesian Cross,2,32,13,11,0.4,15.83,3.47,8.51,28,44.98,5,39,60,2
Jersey cross,8,40,5,13,1.89,18.66,3.69,8.34,35,43.83,6,40,53,0
Holstein Friesian Cross,5,30,13,11,1.77,17.04,3.5,8.44,29,43.38,5,72,69,1
Holstein Friesian Cross,4,27,10,11,1.13,17.16,3.49,8.41,38,35.7,6,70,62,0
Holstein Friesian Cross,5,30,7,9,1.4,16.57,3.38,8.38,30,35.05,6,52,60,3
Jersey cross,2,35,7,5,1.7,13.16,3.61,8.54,35,36.69,5,34,73,1
Jersey cross,3,34,9,9,0.2,14.33,3.72,8.49,38,37.11,3,42,59,2
Holstein Friesian Cross,5,27,11,9,1.51,15.94,3.49,8.57,35,41.91,2,50,72,2
Jersey cross,7,26,9,5,1.22,14.47,3.58,8.62,28,42.97,6,55,53,0
Jersey cross,3,33,13,7,0.85,13.15,3.61,8.57,29,40.69,5,30,59,2
Holstein Friesian Cross,9,34,11,6,1.81,17.67,3.29,8.57,34,36.12,4,52,53,0
Holstein Friesian Cross,9,43,11,12,1.68,21.68,3.23,8.55,33,42.25,5,35,57,3
Holstein Friesian Cross,3,37,5,10,1.86,17.42,3.36,8.43,30,42.76,5,39,71,2
Jersey cross,6,36,9,12,0.87,15.67,3.59,8.39,34,44.21,4,61,56,2
Holstein Friesian Cross,7,35,14,5,1.01,17.37,3.26,8.55,31,44.47,3,27,58,1
Jersey cross,4,43,5,10,1.1,15.32,3.63,8.39,35,39.1,5,43,59,2
Jersey cross,8,26,7,11,0.59,15.98,3.71,8.44,32,37.15,2,67,63,3
Holstein Friesian Cross,2,35,13,10,0.69,17.03,3.44,8.46,30,42.95,5,71,51,1
Jersey cross,8,31,13,12,0.12,16.79,3.8,8.44,38,39.0,5,74,65,1
Jersey cross,3,26,7,8,0.49,13.94,3.69,8.51,33,42.38,6,25,58,1
Jersey cross,5,27,14,6,1.63,14.64,3.71,8.57,35,40.16,3,48,73,3
Holstein Friesian Cross,9,44,10,8,0.22,20.49,3.3,8.6,33,40.41,3,31,53,1
Jersey cross,2,25,9,4,1.64,12.5,3.59,8.56,29,40.48,3,72,53,1
Jersey cross,2,38,8,11,0.46,14.04,3.7,8.48,35,37.23,6,48,58,3
Holstein Friesian Cross,4,44,10,12,1.9,17.78,3.27,8.49,29,36.34,2,61,68,1
Jersey cross,2,39,12,12,0.6,14.85,3.67,8.45,38,35.31,3,29,67,1
Jersey cross,1,26,8,6,1.22,12.01,3.61,8.5,35,36.88,3,25,54,2
Jersey cross,9,26,14,12,1.94,17.35,3.7,8.46,30,36.92,3,28,75,1
Jersey cross,1,36,6,11,1.75,12.93,3.57,8.49,30,40.02,5,29,59,0
Holstein Friesian Cross,6,30,7,6,0.3,16.51,3.4,8.48,35,36.56,3,68,69,2
Jersey cross,2,44,14,12,1.86,15.43,3.7,8.51,31,42.99,4,73,52,2
Holstein Friesian Cross,3,44,12,9,0.02,17.1,3.2,8.62,38,40.69,3,40,73,1
Jersey cross,2,43,14,5,0.24,13.28,3.39,8.68,28,35.79,5,48,60,3
Jersey cross,8,38,8,8,1.28,16.36,3.5,8.43,28,42.15,4,52,50,0
Holstein Friesian Cross,7,40,6,14,0.45,18.67,3.45,8.44,34,35.07,4,36,53,2
Holstein Friesian Cross,5,31,8,6,1.73,16.47,3.33,8.58,36,38.11,5,46,50,1
Jersey cross,4,29,10,5,1.44,12.93,3.6,8.45,34,38.09,4,29,66,0
Holstein Friesian Cross,7,30,8,13,1.33,19.17,3.48,8.49,28,35.99,2,63,61,1
Holstein Friesian Cross,2,25,8,13,0.98,14.79,3.43,8.53,33,44.41,2,65,74,3
Jersey cross,4,26,9,4,0.8,12.67,3.55,8.46,31,38.53,4,46,65,0
Jersey cross,9,30,9,12,1.01,16.56,3.72,8.51,28,38.8,3,41,50,0
Holstein Friesian Cross,6,28,5,10,1.9,16.26,3.39,8.42,36,39.81,6,65,69,0
Holstein Friesian Cross,3,39,14,4,1.31,16.32,3.28,8.61,33,35.73,6,69,75,1
Jersey cross,5,35,11,4,1.52,15.15,3.6,8.65,31,38.45,2,26,58,2
Holstein Friesian Cross,5,40,13,14,0.48,18.98,3.44,8.41,32,44.72,2,36,69,3
Jersey cross,3,35,9,8,0.7,13.55,3.52,8.42,33,37.05,6,42,61,0
Holstein Friesian Cross,5,41,14,14,1.13,18.37,3.3,8.58,29,42.38,6,53,68,2
Jersey cross,9,34,10,9,0.03,17.62,3.73,8.55,33,44.36,2,59,60,0
Holstein Friesian Cross,9,27,8,11,0.87,18.81,3.47,8.44,29,43.51,2,75,75,0
Holstein Friesian Cross,9,35,5,7,0.65,18.4,3.24,8.41,32,42.64,5,46,66,2
Jersey cross,5,40,8,14,1.33,16.33,3.7,8.43,28,43.57,5,70,53,1
Jersey cross,4,45,9,12,0.14,17.14,3.53,8.55,31,41.05,2,64,71,3
Holstein Friesian Cross,5,42,12,12,0.73,18.28,3.31,8.44,29,35.48,4,57,67,3
Jersey cross,3,30,12,4,1.91,12.11,3.56,8.64,36,43.8,5,45,74,2
Jersey cross,5,34,12,9,1.51,15.23,3.71,8.5,33,38.9,4,63,54,1
Jersey cross,2,37,8,9,0.47,13.26,3.57,8.43,29,35.88,5,44,53,1
Holstein Friesian Cross,1,38,5,7,1.8,15.21,3.31,8.42,37,43.66,3,70,68,1
Jersey cross,9,31,11,12,0.62,17.38,3.7,8.4,29,39.31,3,68,60,1
Jersey cross,4,37,8,8,1.35,14.83,3.66,8.59,31,37.93,5,38,59,3
Holstein Friesian Cross,1,29,9,7,1.6,14.0,3.39,8.46,29,37.68,6,53,62,2
Holstein Friesian Cross,4,39,12,14,0.02,19.23,3.42,8.4,29,35.59,6,34,70,3
Holstein Friesian Cross,4,26,6,14,0.13,16.79,3.53,8.42,36,39.8,4,29,64,3
Jersey cross,8,40,10,10,1.68,18.35,3.56,8.51,36,36.07,5,49,50,3
Jersey cross,8,30,5,5,1.94,15.27,3.57,8.57,29,38.08,4,55,66,2
Jersey cross,5,28,9,5,1.96,13.03,3.57,8.46,28,40.55,4,37,58,1
Jersey cross,1,44,10,6,0.26,13.12,3.39,8.48,31,40.27,6,32,61,2
Holstein Friesian Cross,8,40,9,14,0.85,20.52,3.44,8.54,31,42.29,4,71,61,0
Holstein Friesian Cross,7,38,10,12,0.39,18.43,3.26,8.43,34,43.21,6,69,58,2
Holstein Friesian Cross,7,27,13,7,1.42,17.27,3.43,8.59,28,37.97,3,33,63,2
Holstein Friesian Cross,8,42,5,9,1.99,20.12,3.35,8.53,30,40.62,6,65,61,1
Holstein Friesian Cross,5,34,12,13,0.23,17.57,3.44,8.5,35,35.33,2,53,63,3
Jersey cross,8,35,8,9,1.54,16.43,3.57,8.45,31,36.64,2,63,61,0
Jersey cross,9,28,10,10,0.59,17.33,3.77,8.47,31,41.65,2,60,74,1
Holstein Friesian Cross,6,33,6,8,1.84,16.28,3.25,8.45,37,36.82,2,30,60,3
Jersey cross,4,35,14,10,1.76,15.26,3.6,8.64,34,39.64,5,35,68,2
Holstein Friesian Cross,5,40,6,13,1.92,18.23,3.44,8.53,28,42.96,6,51,65,0
Holstein Friesian Cross,4,28,6,6,0.6,15.29,3.28,8.45,29,36.33,4,52,63,0
Jersey cross,1,25,7,10,1.01,11.81,3.81,8.47,32,44.65,2,28,67,2
Holstein Friesian Cross,7,32,5,11,1.57,18.0,3.42,8.4,30,39.57,4,48,61,3
Jersey cross,6,41,6,12,0.27,17.43,3.71,8.36,33,43.89,4,74,69,0
Jersey cross,6,43,5,5,1.29,15.94,3.4,8.49,33,38.35,5,55,63,2
Holstein Friesian Cross,1,39,10,11,1.93,16.73,3.42,8.59,36,37.04,2,53,53,3
Jersey cross,7,44,8,13,0.46,17.51,3.64,8.37,35,44.21,2,68,56,0
Jersey cross,7,34,5,12,1.97,16.92,3.62,8.52,32,40.54,5,45,65,0
Holstein Friesian Cross,8,29,6,12,1.58,19.15,3.36,8.48,31,36.99,2,43,50,0
Holstein Friesian Cross,8,32,6,10,0.17,17.6,3.31,8.45,34,36.92,3,48,51,2
Jersey cross,4,26,14,7,0.07,13.71,3.69,8.62,36,37.55,5,68,57,2
Holstein Friesian Cross,2,30,14,5,0.24,14.13,3.25,8.53,36,38.92,2,34,56,2
Jersey cross,1,42,12,9,1.6,14.06,3.56,8.47,31,39.76,5,42,59,0
Jersey cross,2,42,14,14,0.75,15.53,3.73,8.6,34,38.1,2,59,70,2
Jersey cross,3,31,11,14,0.42,14.12,3.82,8.44,34,41.73,4,44,60,3
Jersey cross,6,32,7,7,0.11,14.53,3.55,8.56,32,41.35,5,25,72,0
Holstein Friesian Cross,2,39,12,13,0.12,16.3,3.39,8.5,37,37.87,4,44,72,2
Jersey cross,4,25,7,11,0.92,14.68,3.78,8.45,28,44.92,2,58,53,0
Jersey cross,4,27,10,5,1.25,12.58,3.61,8.47,36,41.82,5,73,56,2
Jersey cross,2,31,10,4,1.5,12.82,3.67,8.65,34,42.95,5,45,65,2
Jersey cross,4,26,14,8,0.47,13.46,3.64,8.63,38,44.66,5,51,51,1
Jersey cross,9,45,14,10,0.75,19.27,3.61,8.49,34,44.87,4,48,64,3
Holstein Friesian Cross,1,31,14,6,0.47,15.39,3.32,8.6,29,37.39,3,37,63,3
Jersey cross,3,25,5,9,1.85,13.77,3.72,8.54,35,38.86,3,51,65,0
Holstein Friesian Cross,8,32,8,6,0.56,17.95,3.37,8.56,30,41.26,2,50,52,2
Holstein Friesian Cross,7,25,6,9,1.52,16.29,3.38,8.43,31,36.12,6,33,56,0
Jersey cross,2,33,5,5,0.41,12.59,3.57,8.47,33,39.5,6,37,70,3
Holstein Friesian Cross,8,42,8,9,1.91,18.54,3.2,8.41,34,43.99,4,29,65,2
Jersey cross,7,41,12,6,1.76,15.89,3.48,8.55,37,40.5,3,35,59,3
Holstein Friesian Cross,8,28,14,9,0.42,18.5,3.41,8.45,30,41.69,2,39,62,2
Holstein Friesian Cross,2,29,11,4,0.65,13.61,3.34,8.55,36,39.5,6,56,52,2
Jersey cross,3,42,12,10,1.39,14.75,3.67,8.52,35,43.63,5,49,74,0
Jersey cross,8,37,7,7,1.52,15.96,3.64,8.55,31,41.5,5,61,57,3
Jersey cross,3,33,12,7,1.45,14.28,3.61,8.58,30,43.58,6,74,62,2
Jersey cross,8,38,5,9,0.74,17.32,3.52,8.42,37,42.56,6,54,57,3
Holstein Friesian Cross,8,27,10,14,1.25,19.95,3.6,8.42,35,38.49,4,75,50,2
Holstein Friesian Cross,8,36,5,5,0.43,18.35,3.18,8.53,35,35.6,2,68,73,3
Jersey cross,4,33,5,9,0.4,14.94,3.56,8.5,34,37.77,6,62,65,1
Holstein Friesian Cross,3,25,7,7,0.39,14.72,3.36,8.46,34,38.66,3,35,66,0
Jersey cross,2,26,10,6,1.94,12.86,3.68,8.57,33,43.89,4,28,75,1
Holstein Friesian Cross,2,32,14,13,0.11,17.39,3.4,8.44,32,40.69,3,34,52,0
Jersey cross,8,36,7,8,1.46,16.6,3.53,8.52,38,35.4,6,46,69,0
Jersey cross,4,42,6,13,0.53,17.02,3.63,8.51,28,35.09,3,33,69,3
Jersey cross,5,34,7,11,1.24,15.97,3.62,8.55,34,35.32,5,39,74,0
Jersey cross,8,41,9,14,0.06,17.89,3.6,8.38,34,39.04,2,53,68,3
Jersey cross,4,27,12,8,1.99,13.57,3.6,8.5,30,42.45,4,67,61,0
Jersey cross,4,34,9,10,1.41,14.37,3.63,8.45,32,38.46,5,52,74,1
Jersey cross,9,43,8,12,1.93,18.27,3.62,8.49,35,37.36,6,30,57,2
Holstein Friesian Cross,2,27,8,4,1.85,14.0,3.34,8.52,38,43.89,5,68,65,1
Jersey cross,1,25,14,7,0.69,11.13,3.71,8.6,36,38.97,3,48,55,2
Jersey cross,7,27,8,11,0.42,16.06,3.85,8.45,38,44.68,6,58,58,1
Holstein Friesian Cross,4,29,8,7,0.85,15.67,3.42,8.5,36,43.49,5,62,62,1
Holstein Friesian Cross,8,45,7,11,1.69,19.82,3.24,8.53,38,44.33,2,49,57,3
Jersey cross,5,31,5,4,1.63,13.45,3.63,8.5,37,36.37,5,35,65,0
Holstein Friesian Cross,9,30,10,13,0.24,20.09,3.54,8.54,36,40.79,6,41,62,1
Jersey cross,4,35,8,12,0.09,14.39,3.64,8.4,30,35.19,3,43,61,2
Jersey cross,6,34,13,9,1.16,15.37,3.71,8.54,34,44.1,5,56,71,2
Jersey cross,1,32,6,12,0.37,13.97,3.76,8.35,29,43.75,6,46,51,0
Holstein Friesian Cross,8,30,10,13,0.18,18.6,3.42,8.55,29,36.35,5,58,71,1
Jersey cross,5,34,7,4,1.45,14.27,3.49,8.45,35,39.83,3,28,75,1
Jersey cross,5,27,12,13,1.35,15.78,3.7,8.51,35,37.19,6,41,59,0
Holstein Friesian Cross,1,38,11,14,1.26,16.37,3.47,8.52,34,40.87,6,26,54,1
Jersey cross,4,34,14,7,0.68,14.14,3.67,8.56,37,41.79,4,39,75,1
Holstein Friesian Cross,9,36,11,5,0.71,18.55,3.27,8.65,38,42.39,5,31,62,1
Holstein Friesian Cross,9,43,8,8,1.34,20.2,3.15,8.48,34,42.32,2,43,62,1
Holstein Friesian Cross,1,39,10,14,0.98,17.37,3.34,8.51,32,43.7,2,58,66,2
Jersey cross,6,39,10,8,0.89,16.35,3.5,8.62,31,44.0,3,45,74,2
Holstein Friesian Cross,8,30,9,14,1.08,18.51,3.49,8.38,32,40.99,6,69,53,0
Jersey cross,9,28,10,8,1.85,17.1,3.75,8.43,38,35.88,6,46,72,2
Holstein Friesian Cross,1,45,14,11,0.99,16.17,3.23,8.55,33,36.23,6,32,58,3
Jersey cross,5,40,8,12,0.44,17.12,3.54,8.41,32,37.59,6,51,53,2
Holstein Friesian Cross,7,26,13,8,0.05,17.64,3.39,8.57,34,43.59,3,45,57,2
Jersey cross,4,35,13,4,0.88,14.38,3.45,8.66,30,44.07,5,41,60,3
Holstein Friesian Cross,8,45,5,10,1.62,19.63,3.29,8.36,29,40.09,6,35,69,3
Holstein Friesian Cross,6,44,8,8,1.6,18.49,3.27,8.55,29,41.57,3,32,59,0
Jersey cross,8,41,9,4,1.35,16.41,3.48,8.55,36,37.69,2,33,70,1
Jersey cross,8,42,5,9,0.16,17.46,3.64,8.4,28,42.73,2,59,53,3
Holstein Friesian Cross,5,27,9,13,1.7,18.17,3.49,8.43,36,43.16,6,52,61,3
Jersey cross,1,25,8,8,0.03,11.69,3.65,8.41,32,42.26,3,53,67,3
Jersey cross,1,34,13,9,1.83,13.06,3.68,8.58,38,37.14,5,52,57,1
Jersey cross,9,31,13,9,0.9,17.21,3.72,8.53,31,41.93,3,72,75,1
Jersey cross,2,26,11,10,0.61,12.44,3.75,8.57,37,42.65,5,68,56,3
Holstein Friesian Cross,7,43,7,7,0.05,19.05,3.27,8.41,36,43.37,6,74,63,2
Holstein Friesian Cross,1,42,11,5,1.43,14.62,3.13,8.54,36,44.21,3,42,73,1
Holstein Friesian Cross,2,29,7,4,1.83,14.39,3.27,8.47,32,41.95,5,60,57,3
Jersey cross,5,41,12,13,1.14,16.21,3.75,8.41,38,36.96,6,48,64,3
